Profissional,Profissional,Profissional,Profissional,Profissional,Profissional,Função,Serviço,Tempo Minutos ,Valor Normal a partir de:,Valor Promocional a partir de:,Valor Promocional para Pagamento à vista em Dinheiro a partir de:,Valor Promocional para Pagamento em Pix Débito ou Cartão 1 X a partir de:,Valor Promocional para Pagamento em Cartão 2 X a partir de:,Valor Promocional para Pagamento em Cartão 3 X a partir de: ,Valor Promocional para Pagamento em Cartão 4 X a partir de:,Valor Promocional para Pagamento em Cartão 5 X a partir de:,Oferta válida:,Oferta válida até:
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Curso e treinamento de Manicure,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Sandy ,Carol,Jianine,,,,Manicure Nail Designer,Curso e treinamento de Nail Designer,600,1.399,999,999,1.049,1.175,1.196,1.217,1.238,Não,Encerrado
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro aplicação,120,349,249,249,261,293,298,303,309,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro express aplicação,120,349,249,249,261,293,298,303,309,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro express manutenção,120,279,199,199,209,234,238,242,247,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro express remoção,60,139,99,99,104,116,119,121,123,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro manutenção,120,279,199,199,209,234,238,242,247,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume brasileiro remoção,60,139,99,99,104,116,119,121,123,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume capping aplicação,180,559,399,399,419,469,478,486,494,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume capping manutenção,180,559,399,399,419,469,478,486,494,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume capping remoção,60,279,199,199,209,234,238,242,247,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio aplicação,120,349,249,249,261,293,298,303,309,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio express aplicação,120,349,249,249,261,293,298,303,309,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio express manutenção,120,279,199,199,209,234,238,242,247,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio express remoção,60,139,99,99,104,116,119,121,123,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio manutenção,120,279,199,199,209,234,238,242,247,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume egípcio remoção ,60,139,99,99,104,116,119,121,123,Sim,20/12/2025
Gabi,,,,,,Lash Designer,Cílios técnica volume fox eyes aplicação,120,489,349,349,366,410,418,425,432,Sim,20/12/2025
